Arquivo criado em: qua 05 jun 2024 15:36:43 -03
Data;Hora;Usuario;Host;Memoria Total (KB);Memoria Usada (KB);Swap Total (KB);Swap Usada (KB);Processos do Usuario;Memoria Processos do Usuario (KB);Page Faults
20240605;15:36:43;leo;leo;7783588;3410864;4194300;2304;124;5717876;
20240605;15:37:03;leo;leo;7783588;3343780;4194300;2304;123;5699584;
20240605;15:37:23;leo;leo;7783588;3346692;4194300;2304;123;5698344;
20240605;15:37:44;leo;leo;7783588;3077312;4194300;2304;118;4914812;
20240605;15:38:04;leo;leo;7783588;2985964;4194300;2304;118;4442544;
20240605;15:38:24;leo;leo;7783588;2911456;4194300;2304;119;4406904;
20240605;15:38:44;leo;leo;7783588;2907644;4194300;2304;119;4375236;
20240605;15:39:04;leo;leo;7783588;2788988;4194300;2304;118;4272528;
20240605;15:39:24;leo;leo;7783588;2759208;4194300;2304;118;4243428;
20240605;15:39:44;leo;leo;7783588;2818256;4194300;2304;119;4375244;
20240605;15:40:04;leo;leo;7783588;2792316;4194300;2304;119;4368812;
20240605;15:40:24;leo;leo;7783588;2757852;4194300;2304;118;4250012;
20240605;15:40:44;leo;leo;7783588;2787332;4194300;2304;118;4262912;
20240605;15:41:04;leo;leo;7783588;2771824;4194300;2304;118;4266624;
20240605;15:41:24;leo;leo;7783588;2763132;4194300;2304;118;4259836;
20240605;15:41:44;leo;leo;7783588;2766016;4194300;2304;118;4259708;
